,species,year,population,annual_catch,Weddell_ice_extent_annual,Indian_ice_extent_annual,Pacific_ice_extent_annual,Ross_ice_extent_annual,Bell_Amu_ice_extent_annual,Ant_ice_extent_annual,Weddell_ice_area_annual,Indian_ice_area_annual,Pacific_ice_area_annual,Ross_ice_area_annual,Bell_Amu_ice_area_annual,Ant_ice_area_annual
0,adelie penguin,1985,15016.0,16539,4066538.83333,1946374.08333,1165693.83333,2924158.83333,1466957.5,11569723.3333,3250256.66667,1439631.41667,775637.5,2282135.41667,1075320.83333,8822981.66667
1,adelie penguin,1986,23857.4761905,372481,3872133.33333,1723016.33333,1029674.25,2617454.16667,1801480.5,11043758.75,3068173.83333,1229924.08333,695730.416667,1969453.91667,1300149.66667,8263431.66667
2,adelie penguin,1987,19904.4193548,392257,4289866.08333,1707821.0,1051228.91667,2809264.08333,1561668.58333,11419848.5,3355765.33333,1240462.58333,691457.5,2147214.41667,1129890.66667,8564790.58333
3,adelie penguin,1988,25919.8387097,416848,4260505.58333,1806590.83333,1164455.75,2988008.33333,1245708.66667,11465268.9167,3450167.25,1311453.5,802171.916667,2254176.83333,874022.25,8691992.08333
4,adelie penguin,1989,11419.6944444,354766,4030231.08333,2158107.58333,1037113.41667,2869981.75,1283731.08333,11379165.0833,3209330.08333,1633312.33333,695329.5,2182799.33333,952738.166667,8673509.41667
5,adelie penguin,1990,14457.2162162,362866,3864365.33333,1850689.83333,1224600.41667,2842593.0,1581611.16667,11363859.5833,3158931.83333,1354987.33333,844620.583333,2169606.25,1128783.16667,8656928.83333
6,adelie penguin,1991,11645.46875,340715,4532788.5,1718640.66667,1122575.25,2684456.83333,1439853.5,11498315.0,3676630.08333,1239163.16667,784272.75,1990783.75,977230.5,8668080.58333
7,adelie penguin,1992,22949.0645161,229435,4655650.5,1828203.5,1159527.58333,2544404.25,1186446.16667,11374232.4167,3637832.16667,1332473.41667,779234.166667,1936387.41667,833245.166667,8519172.25
8,adelie penguin,1993,9549.04878049,60531,4146953.75,2024498.16667,1237574.91667,2584367.66667,1377837.91667,11371232.4167,3309210.41667,1491739.33333,844691.916667,1985482.41667,975706.25,8606830.41667
9,adelie penguin,1994,6224.66666667,85509,4439678.08333,1848593.33333,1262927.5,2754216.83333,1421351.66667,11726767.0833,3622881.75,1340674.41667,902189.5,2130464.83333,1029426.83333,9025637.66667
10,adelie penguin,1995,6101.67647059,137806,4493131.25,1866519.0,1211214.75,2719142.83333,1458186.83333,11748194.5833,3539786.75,1337144.08333,847101.25,2108690.75,1030082.0,8862804.58333
11,adelie penguin,1996,16987.9285714,89522,4202801.5,1691125.33333,1255407.5,3115326.75,1479857.16667,11744517.75,3291909.66667,1214001.75,858372.333333,2390201.91667,1057995.0,8812480.75
12,adelie penguin,1997,10656.3939394,75785,4270022.08333,1783303.83333,1231390.75,2690252.66667,1365810.0,11340779.4167,3468406.83333,1284422.83333,864456.0,2079774.5,953667.5,8650728.0
13,adelie penguin,1998,17465.6511628,88764,4119164.83333,1927472.08333,1274025.58333,3114164.5,1255589.08333,11690415.8333,3155857.0,1412822.66667,879110.833333,2459750.25,900424.333333,8807964.83333
14,adelie penguin,1999,8796.61538462,101114,3768755.0,1983848.08333,1318567.58333,3256362.0,1384134.33333,11711667.4167,2983213.91667,1442144.0,914700.333333,2488713.0,995021.5,8823792.83333
15,adelie penguin,2000,10898.34375,116076,4178187.33333,1915495.41667,1171351.5,2976639.16667,1481353.33333,11723026.5,3423707.16667,1407108.83333,816740.583333,2285208.83333,1055553.0,8988318.5
16,adelie penguin,2001,6589.55,101873,4222610.83333,1891467.08333,1163298.66667,2952915.75,1397941.91667,11628234.3333,3282305.58333,1382238.33333,803362.916667,2256355.0,993270.75,8717532.66667
17,adelie penguin,2002,7991.91176471,126851,4201419.0,1790667.08333,1010359.91667,2766729.08333,1404904.25,11174078.8333,3468497.83333,1275919.25,692193.416667,2105039.66667,956487.083333,8498137.25
18,adelie penguin,2003,5405.61290323,116921,4666540.5,1823093.58333,1277060.5,2848246.16667,1309152.75,11924093.5,3703252.33333,1319223.91667,879137.916667,2208428.25,950814.166667,9060856.5
19,adelie penguin,2004,9898.17948718,118107,4559383.08333,2017202.58333,1108703.0,2753923.5,1499315.16667,11938527.25,3597780.58333,1503175.5,745520.916667,2104595.58333,1091190.75,9042263.33333
20,adelie penguin,2005,13751.6944444,129023,4236158.33333,1934265.25,1274963.58333,2819392.16667,1383029.08333,11647808.0,3380560.08333,1376629.83333,889749.583333,2119136.5,981572.5,8747648.66667
21,adelie penguin,2006,17239.3658537,107576,4147565.33333,2078035.58333,1232891.08333,2725229.91667,1229866.83333,11413588.75,3288076.08333,1559042.33333,835304.416667,2109598.25,869788.5,8661809.58333
22,adelie penguin,2007,12863.5454545,104996,4375913.08333,1869045.08333,1150153.33333,3111473.0,1130413.0,11636997.3333,3611007.0,1351126.0,811759.75,2383718.08333,784583.75,8942194.41667
23,adelie penguin,2008,11878.3571429,155221,4580694.66667,2014154.58333,1231122.41667,3161129.91667,1228238.25,12215339.6667,3647446.83333,1479856.08333,851685.0,2438677.58333,856320.25,9273985.75
24,adelie penguin,2009,10724.8717949,126501,4339602.91667,2013516.58333,1142089.41667,3056313.75,1446410.58333,11997933.3333,3538873.25,1458077.25,792454.416667,2363609.41667,997200.416667,9150215.0
25,adelie penguin,2010,14130.2765957,214072,4270114.58333,2236493.25,1130156.83333,2966754.83333,1452878.66667,12056398.25,3339438.66667,1670129.91667,760276.5,2303219.58333,1045218.75,9118283.66667
26,adelie penguin,2011,19540.097561,189578,4112852.75,1922989.0,1256129.0,2741361.91667,1416089.91667,11449422.5833,3336496.66667,1397703.5,854209.333333,2085931.66667,1011163.91667,8685505.08333
27,adelie penguin,2012,26108.5833333,149914,4550577.25,1949894.83333,1303683.33333,2782995.83333,1393781.25,11980932.9167,3667152.75,1442166.25,922174.0,2157976.33333,1010265.66667,9199735.16667
