AKC_ID,year,month,Group_SSMU_Code,SSMU_Code,Krill_Green_Weight/tons,wq
10019,1985,12,AP,APDPE,317,Y
10020,1985,12,AP,APDPW,188,Y
10021,1985,12,AP,APEI,1404,Y
10022,1985,12,AP,APPA,474,Y
10023,1985,12,AP,APW,549,Y
10024,1985,12,SG,,4078,N
10025,1985,12,SO,,9528,N
10026,1985,12,SS,SSPA,1,Y
10027,1986,1,AP,APBSE,17,Y
10028,1986,1,AP,APDPE,3382,Y
10029,1986,1,AP,APDPW,2768,Y
10030,1986,1,AP,APEI,1541,Y
10031,1986,1,AP,APPA,1510,Y
10032,1986,1,AP,APW,906,Y
10033,1986,1,SO,,26826,N
10034,1986,2,AP,APBSE,32,Y
10035,1986,2,AP,APDPE,8228,Y
10036,1986,2,AP,APDPW,175,Y
10037,1986,2,AP,APEI,10996,Y
10038,1986,2,AP,APPA,79,Y
10039,1986,2,SO,,25238,N
10040,1986,3,AP,APBSE,3,Y
10041,1986,3,AP,APDPE,53,Y
10042,1986,3,AP,APDPW,1111,Y
10043,1986,3,AP,APEI,5539,Y
10044,1986,3,AP,APPA,14,Y
10045,1986,3,SO,,78094,N
10046,1986,4,AP,,1233,N
10047,1986,4,SG,,48,N
10048,1986,4,SO,,52981,N
10049,1986,5,AP,,252,N
10050,1986,5,SG,,31938,N
10051,1986,5,SO,,32628,N
10052,1986,6,SG,,45346,N
10053,1986,7,SG,,16514,N
10054,1986,8,SG,,4520,N
10055,1986,9,SG,,6372,N
10056,1986,10,SG,,1748,N
10057,1986,10,SO,SOW,669,Y
10058,1986,11,AP,APDPE,151,Y
10059,1986,11,AP,APPA,124,Y
10060,1986,11,SG,,32,N
10061,1986,11,SO,SOW,1131,Y
10062,1986,12,AP,APDPE,440,Y
10063,1986,12,AP,APEI,2825,Y
10064,1986,12,AP,APPA,350,Y
10065,1986,12,SG,,58,N
10066,1986,12,SO,SONE,194,Y
10067,1986,12,SO,SOPA,559,Y
10068,1986,12,SO,SOW,5856,Y
10069,1987,1,AP,APBSW,1,Y
10070,1987,1,AP,APDPE,5402,Y
10071,1987,1,AP,APDPW,61,Y
10072,1987,1,AP,APEI,10461,Y
10073,1987,1,AP,APPA,2364,Y
10074,1987,1,SG,,16974,N
10075,1987,1,SO,SONE,488,Y
10076,1987,1,SO,SOPA,436,Y
10077,1987,1,SO,SOW,4418,Y
10078,1987,2,AP,APBSE,12,Y
10079,1987,2,AP,APBSW,0,Y
10080,1987,2,AP,APDPE,3522,Y
10081,1987,2,AP,APDPW,0,Y
10082,1987,2,AP,APEI,17964,Y
10083,1987,2,AP,APPA,179,Y
10084,1987,2,SG,,16098,N
10085,1987,2,SO,SOPA,30,Y
10086,1987,2,SO,SOW,3209,Y
10087,1987,3,AP,APDPE,2093,Y
10088,1987,3,AP,APDPW,386,Y
10089,1987,3,AP,APEI,18030,Y
10090,1987,3,AP,APPA,443,Y
10091,1987,3,SG,,15608,N
10092,1987,3,SO,SOW,2912,Y
10093,1987,4,AP,APDPE,344,Y
10094,1987,4,AP,APDPW,1335,Y
10095,1987,4,AP,APEI,4055,Y
10096,1987,4,SG,,65176,N
10097,1987,5,SG,,67628,N
10098,1987,6,SG,,45478,N
10099,1987,7,SG,SGE,38604,Y
10100,1987,8,SG,SGE,25101,Y
10101,1987,9,SG,SGE,16893,Y
10102,1987,10,SG,SGE,4516,Y
10103,1987,11,SO,SOW,325,Y
10104,1987,12,AP,APDPE,1,Y
10105,1987,12,AP,APEI,562,Y
10106,1987,12,AP,APPA,257,Y
10107,1987,12,SO,SONE,44,Y
10108,1987,12,SO,SOPA,303,Y
10109,1987,12,SO,SOW,544,Y
10110,1988,1,AP,APBSW,0,Y
10111,1988,1,AP,APDPE,6800,Y
10112,1988,1,AP,APDPW,7300,Y
10113,1988,1,AP,APEI,2454,Y
10114,1988,1,AP,APPA,1543,Y
10115,1988,1,AP,APW,28,Y
10116,1988,1,SO,SOPA,400,Y
10117,1988,1,SO,SOW,15674,Y
10118,1988,2,AP,APBSW,50,Y
10119,1988,2,AP,APDPE,2577,Y
10120,1988,2,AP,APDPW,23289,Y
10121,1988,2,AP,APEI,944,Y
10122,1988,2,AP,APPA,13,Y
10123,1988,2,SG,SGW,14,Y
10124,1988,2,SO,SONE,4306,Y
10125,1988,2,SO,SOW,10273,Y
10126,1988,3,AP,APDPE,862,Y
10127,1988,3,AP,APDPW,12933,Y
10128,1988,3,AP,APEI,9108,Y
10129,1988,3,AP,APPA,128,Y
10130,1988,3,SG,SGW,10,Y
10131,1988,3,SO,SOPA,26,Y
10132,1988,3,SO,SOSE,19303,Y
10133,1988,3,SO,SOW,2130,Y
10134,1988,4,AP,APEI,10070,Y
10135,1988,4,SG,SGE,16428,Y
10136,1988,4,SO,SOW,40681,Y
10137,1988,5,SG,SGE,41025,Y
10138,1988,5,SO,SOW,650,Y
10139,1988,6,SG,SGE,47901,Y
10140,1988,7,SG,SGE,288,Y
10141,1988,7,SG,SGPA,62406,Y
10142,1988,8,SG,SGE,348,Y
10143,1988,8,SG,SGPA,37451,Y
10144,1988,9,SG,SGPA,5779,Y
10145,1988,10,SO,SOPA,553,Y
10146,1988,11,SO,SOPA,3394,Y
10147,1988,12,AP,APDPE,1171,Y
10148,1988,12,AP,APEI,115,Y
10149,1988,12,AP,APPA,672,Y
10150,1988,12,AP,APW,35,Y
10151,1988,12,SG,SGPA,192,Y
10152,1988,12,SO,SOPA,27513,Y
10153,1988,12,SO,SOW,11,Y
10154,1989,1,AP,APDPE,1105,Y
10155,1989,1,AP,APDPW,4013,Y
10156,1989,1,AP,APEI,25890,Y
10157,1989,1,AP,APPA,4198,Y
10158,1989,1,SG,SGPA,267,Y
10159,1989,1,SO,SOPA,20275,Y
10160,1989,1,SO,SOW,993,Y
10161,1989,2,AP,APBSW,14,Y
10162,1989,2,AP,APDPE,3618,Y
10163,1989,2,AP,APDPW,25097,Y
10164,1989,2,AP,APEI,5515,Y
10165,1989,2,AP,APPA,488,Y
10166,1989,2,SG,SGPA,900,Y
10167,1989,2,SO,SOPA,17719,Y
10168,1989,2,SO,SOW,1708,Y
10169,1989,3,AP,APBSW,7,Y
10170,1989,3,AP,APDPE,217,Y
10171,1989,3,AP,APDPW,13599,Y
10172,1989,3,AP,APEI,10962,Y
10173,1989,3,AP,APPA,82,Y
10174,1989,3,SG,SGE,5706,Y
10175,1989,3,SG,SGPA,29,Y
10176,1989,3,SO,SOPA,7370,Y
10177,1989,3,SO,SOW,2664,Y
10178,1989,4,AP,APDPE,3957,Y
10179,1989,4,AP,APDPW,4296,Y
10180,1989,4,AP,APEI,489,Y
10181,1989,4,AP,APPA,15,Y
10182,1989,4,SG,SGE,29422,Y
10183,1989,4,SG,SGPA,20,Y
10184,1989,4,SO,SONE,14,Y
10185,1989,4,SO,SOPA,14,Y
10186,1989,4,SO,SOW,178,Y
10187,1989,5,SG,SGE,34001,Y
10188,1989,6,SG,SGE,29545,Y
10189,1989,7,SG,SGE,33960,Y
10190,1989,8,SG,SGE,16006,Y
10191,1989,9,SG,SGE,7755,Y
10192,1989,10,SG,SGE,701,Y
10193,1989,10,SO,SOW,538,Y
10194,1989,11,SG,SGE,112,Y
10195,1989,11,SO,SOW,9104,Y
10196,1989,12,AP,APDPE,316,Y
10197,1989,12,AP,APDPW,309,Y
10198,1989,12,AP,APEI,1180,Y
10199,1989,12,AP,APPA,353,Y
10200,1989,12,AP,APW,8,Y
10201,1989,12,SG,SGE,2261,Y
10202,1989,12,SO,SOW,27776,Y
10203,1990,1,AP,APDPE,7227,Y
10204,1990,1,AP,APDPW,3730,Y
10205,1990,1,AP,APEI,2985,Y
10206,1990,1,AP,APPA,159,Y
10207,1990,1,SO,SOPA,8527,Y
10208,1990,1,SO,SOW,10064,Y
10209,1990,2,AP,APBSE,11,Y
10210,1990,2,AP,APDPE,1132,Y
10211,1990,2,AP,APDPW,3170,Y
10212,1990,2,AP,APEI,9820,Y
10213,1990,2,AP,APPA,168,Y
10214,1990,2,SO,SOPA,16542,Y
10215,1990,3,AP,APDPW,53,Y
