site_name,site_id,ccamlr_region,Longitude,Latitude,species,day,month,year,season_starting,population,accuracy,count_type,vantage,reference,notes
Dundee Island,DUND,48.1,-55.966,-63.483,gentoo penguin,Unknown,Unknown,1895,1895,40,1,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",None
Point Martin,MART,48.2,-44.7185,-60.7709,gentoo penguin,Unknown,Unknown,1903,1903,None,None,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Recorded as present but no count.
Saddle Island,SADD,48.2,-44.855,-60.617,chinstrap penguin,4,2,1903,1902,25000,5,adults,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",This represents a minimum count.
Nigg Rock,NIGG,48.2,-44.864,-60.707,chinstrap penguin,Unknown,Unknown,1908,1908,None,None,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Known to be present ('large rookery') but no count.
Cape Murray,CMUR,48.1,-61.6206,-64.3663,chinstrap penguin,9,3,1922,1921,None,None,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Small but uncounted colony reported here by Bagshawe on 3/9/1922.
Island south of Guesalaga Island,SGUE,48.1,-61.999,-64.282,chinstrap penguin,9,3,1922,1921,None,None,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Listed as a 'moderate sized rookery'.
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,gentoo penguin,Unknown,Unknown,1947,1947,None,None,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.",Recorded as present but no count.
Graptolite Island,GRAP,48.2,-44.4621,-60.7159,chinstrap penguin,Unknown,Unknown,1947,1947,None,None,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.","Recorded as present in 1947, no count."
Cape Whitson,WHIT,48.2,-44.544,-60.748,chinstrap penguin,8,2,1947,1946,4000,4,adults,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",None
Emperor Island,EMPE,48.1,-68.71,-67.8647,emperor penguin,Unknown,10,1948,1948,70,None,chicks,None,"<strong>Trathan, P. N., P. T. Fretwell, and B. Stonehouse</strong><i>, 2011</i>. First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies. PLoS ONE 6:e14738.",None
Emperor Island,EMPE,48.1,-68.71,-67.8647,emperor penguin,Unknown,Unknown,1949,1949,150,None,chicks,None,"<strong>Trathan, P. N., P. T. Fretwell, and B. Stonehouse</strong><i>, 2011</i>. First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies. PLoS ONE 6:e14738.",None
Emperor Island,EMPE,48.1,-68.71,-67.8647,emperor penguin,Unknown,Unknown,1949,1949,141,3,adults,None,"<strong>Trathan, P. N., P. T. Fretwell, and B. Stonehouse</strong><i>, 2011</i>. First recorded loss of an emperor penguin colony in the recent period of Antarctic regional warming: Implications for other colonies. PLoS ONE 6:e14738.",None
Bruce Islands,BRUC,48.2,-44.924,-60.683,chinstrap penguin,Unknown,Unknown,1956,1956,5000,5,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Listed as 'several thousand' but no count.
Hennequin Point,HENN,48.1,-58.396,-62.124,chinstrap penguin,Unknown,Unknown,1956,1956,None,None,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",Known to be present but no count.
