Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.46,-0.63,-0.35,-0.73,-0.31,-0.37,-1.11,-0.82,-0.58,-0.28,-0.37,-0.32,-0.13,None
1881,-0.44,-0.5,-0.47,-0.55,-0.31,-0.55,-1.07,-0.73,-0.28,-0.29,-0.29,-0.46,-0.48,None
1882,-0.35,-0.49,-0.33,-0.58,-0.14,-0.42,-1.5,-0.49,-0.41,-0.11,-0.15,-0.33,-0.35,None
1883,-0.37,-0.67,-0.18,-0.77,-0.21,-0.26,-0.32,-1.03,-0.66,-0.25,-0.05,-0.22,0.03,None
1884,-0.65,-0.88,-0.51,-0.99,-0.48,-0.56,-1.33,-1.07,-0.83,-0.47,-0.44,-0.38,-0.91,None
1885,-0.5,-0.68,-0.47,-0.8,-0.21,-0.53,-1.37,-0.83,-0.62,-0.13,-0.36,-0.39,-0.69,None
1886,-0.64,-0.66,-0.66,-0.74,-0.45,-0.63,-1.27,-0.67,-0.65,-0.33,-0.82,-0.51,-0.74,None
1887,-0.68,-0.69,-0.69,-0.76,-0.54,-0.68,-1.64,-0.84,-0.45,-0.46,-0.76,-0.62,-0.49,None
1888,-0.47,-0.67,-0.4,-0.78,-0.22,-0.5,-1.51,-0.93,-0.46,-0.21,-0.2,-0.18,-0.98,None
1889,-0.18,-0.34,-0.14,-0.44,0.11,-0.41,-0.64,-0.45,-0.36,0.01,0.35,-0.2,-0.66,None
1890,-0.55,-0.53,-0.62,-0.58,-0.51,-0.55,-1.04,-0.73,-0.3,-0.36,-0.73,-0.53,-0.34,None
1891,-0.57,-0.5,-0.72,-0.59,-0.5,-0.57,-1.22,-0.47,-0.5,-0.21,-0.94,-0.45,-0.59,None
1892,-0.49,-0.54,-0.49,-0.62,-0.34,-0.53,-1.36,-0.72,-0.34,-0.26,-0.43,-0.48,-0.41,None
1893,-0.53,-0.56,-0.55,-0.61,-0.52,-0.45,-0.92,-0.61,-0.5,-0.41,-0.64,-0.55,0.07,None
1894,-0.42,-0.46,-0.46,-0.5,-0.45,-0.31,-1.15,-0.49,-0.28,-0.32,-0.59,-0.37,0.06,None
1895,-0.35,-0.43,-0.32,-0.51,-0.28,-0.28,-0.85,-0.57,-0.32,-0.2,-0.37,-0.24,-0.14,None
1896,-0.31,-0.41,-0.33,-0.54,-0.24,-0.16,-1.13,-0.67,-0.23,-0.02,-0.49,-0.09,-0.08,None
1897,-0.22,-0.26,-0.22,-0.37,0.01,-0.36,-0.7,-0.36,-0.26,0.08,-0.07,-0.18,-0.54,None
1898,-0.38,-0.34,-0.46,-0.39,-0.3,-0.48,-1.19,-0.3,-0.19,-0.18,-0.43,-0.3,-0.62,None
1899,-0.32,-0.19,-0.51,-0.26,-0.29,-0.4,-1.09,-0.16,-0.04,0,-0.61,-0.24,-0.53,None
1900,-0.17,-0.14,-0.23,-0.19,-0.03,-0.35,-0.64,-0.14,-0.07,0.03,-0.08,-0.17,-0.56,None
1901,-0.15,-0.1,-0.22,-0.13,-0.13,-0.2,-0.47,0.06,-0.17,-0.02,-0.24,-0.14,-0.08,None
1902,-0.36,-0.46,-0.32,-0.62,-0.06,-0.49,-1.64,-0.64,-0.22,0.01,-0.13,-0.27,-0.81,None
1903,-0.42,-0.39,-0.47,-0.46,-0.27,-0.59,-0.48,-0.36,-0.53,-0.19,-0.34,-0.47,-0.58,-1.36
1904,-0.54,-0.47,-0.62,-0.46,-0.59,-0.54,-0.35,-0.46,-0.5,-0.48,-0.7,-0.39,-0.56,-1.73
1905,-0.36,-0.34,-0.38,-0.38,-0.23,-0.51,-0.19,-0.21,-0.58,-0.24,-0.22,-0.42,-0.48,-0.91
1906,-0.24,-0.19,-0.28,-0.21,-0.17,-0.36,-0.37,-0.04,-0.31,-0.15,-0.19,-0.21,-0.44,-0.96
1907,-0.53,-0.59,-0.51,-0.68,-0.43,-0.51,-0.73,-0.87,-0.52,-0.36,-0.51,-0.44,-0.37,-1.29
1908,-0.39,-0.38,-0.43,-0.42,-0.39,-0.37,-0.45,-0.45,-0.38,-0.28,-0.5,-0.48,0.02,0.68
1909,-0.41,-0.4,-0.45,-0.48,-0.31,-0.48,-0.81,-0.51,-0.34,-0.22,-0.4,-0.49,-0.2,-0.82
1910,-0.35,-0.36,-0.34,-0.36,-0.4,-0.28,-0.72,-0.18,-0.37,-0.38,-0.41,-0.26,-0.13,0.3
1911,-0.36,-0.33,-0.39,-0.34,-0.35,-0.4,-0.28,-0.32,-0.36,-0.31,-0.38,-0.38,-0.22,-0.17
1912,-0.33,-0.5,-0.19,-0.63,-0.15,-0.3,-0.7,-0.68,-0.55,-0.21,-0.07,-0.04,-0.52,-2.15
1913,-0.33,-0.42,-0.25,-0.4,-0.37,-0.24,-0.65,-0.26,-0.42,-0.47,-0.25,-0.01,-0.46,-1.37
