,species,year,population,Weddell_ice_area_annual,Indian_ice_area_annual,Pacific_ice_area_annual,Ross_ice_area_annual,Bell_Amu_ice_area_annual,Ant_ice_area_annual,Weddell_ice_extent_annual,Indian_ice_extent_annual,Pacific_ice_extent_annual,Ross_ice_extent_annual,Bell_Amu_ice_extent_annual,Ant_ice_extent_annual,annual_catch
0,emperor penguin,1985,2424.0,3250256.66667,1439631.41667,775637.5,2282135.41667,1075320.83333,8822981.66667,4066538.83333,1946374.08333,1165693.83333,2924158.83333,1466957.5,11569723.3333,16539
1,emperor penguin,1986,10037.7142857,3068173.83333,1229924.08333,695730.416667,1969453.91667,1300149.66667,8263431.66667,3872133.33333,1723016.33333,1029674.25,2617454.16667,1801480.5,11043758.75,372481
2,emperor penguin,1987,8533.33333333,3355765.33333,1240462.58333,691457.5,2147214.41667,1129890.66667,8564790.58333,4289866.08333,1707821.0,1051228.91667,2809264.08333,1561668.58333,11419848.5,392257
3,emperor penguin,1988,6950.0,3450167.25,1311453.5,802171.916667,2254176.83333,874022.25,8691992.08333,4260505.58333,1806590.83333,1164455.75,2988008.33333,1245708.66667,11465268.9167,416848
4,emperor penguin,1990,3617.5,3158931.83333,1354987.33333,844620.583333,2169606.25,1128783.16667,8656928.83333,3864365.33333,1850689.83333,1224600.41667,2842593.0,1581611.16667,11363859.5833,362866
5,emperor penguin,1999,15.5,2983213.91667,1442144.0,914700.333333,2488713.0,995021.5,8823792.83333,3768755.0,1983848.08333,1318567.58333,3256362.0,1384134.33333,11711667.4167,101114
6,emperor penguin,2000,4878.0,3423707.16667,1407108.83333,816740.583333,2285208.83333,1055553.0,8988318.5,4178187.33333,1915495.41667,1171351.5,2976639.16667,1481353.33333,11723026.5,116076
7,emperor penguin,2001,2806.44444444,3282305.58333,1382238.33333,803362.916667,2256355.0,993270.75,8717532.66667,4222610.83333,1891467.08333,1163298.66667,2952915.75,1397941.91667,11628234.3333,101873
8,emperor penguin,2002,3643.75,3468497.83333,1275919.25,692193.416667,2105039.66667,956487.083333,8498137.25,4201419.0,1790667.08333,1010359.91667,2766729.08333,1404904.25,11174078.8333,126851
9,emperor penguin,2003,2777.71428571,3703252.33333,1319223.91667,879137.916667,2208428.25,950814.166667,9060856.5,4666540.5,1823093.58333,1277060.5,2848246.16667,1309152.75,11924093.5,116921
10,emperor penguin,2004,4975.75,3597780.58333,1503175.5,745520.916667,2104595.58333,1091190.75,9042263.33333,4559383.08333,2017202.58333,1108703.0,2753923.5,1499315.16667,11938527.25,118107
11,emperor penguin,2005,9636.2,3380560.08333,1376629.83333,889749.583333,2119136.5,981572.5,8747648.66667,4236158.33333,1934265.25,1274963.58333,2819392.16667,1383029.08333,11647808.0,129023
12,emperor penguin,2006,10320.1,3288076.08333,1559042.33333,835304.416667,2109598.25,869788.5,8661809.58333,4147565.33333,2078035.58333,1232891.08333,2725229.91667,1229866.83333,11413588.75,107576
13,emperor penguin,2007,8009.58333333,3611007.0,1351126.0,811759.75,2383718.08333,784583.75,8942194.41667,4375913.08333,1869045.08333,1150153.33333,3111473.0,1130413.0,11636997.3333,104996
14,emperor penguin,2008,8880.57142857,3647446.83333,1479856.08333,851685.0,2438677.58333,856320.25,9273985.75,4580694.66667,2014154.58333,1231122.41667,3161129.91667,1228238.25,12215339.6667,155221
15,emperor penguin,2009,5141.93478261,3538873.25,1458077.25,792454.416667,2363609.41667,997200.416667,9150215.0,4339602.91667,2013516.58333,1142089.41667,3056313.75,1446410.58333,11997933.3333,126501
16,emperor penguin,2010,5471.5,3339438.66667,1670129.91667,760276.5,2303219.58333,1045218.75,9118283.66667,4270114.58333,2236493.25,1130156.83333,2966754.83333,1452878.66667,12056398.25,214072
17,emperor penguin,2011,9596.92857143,3336496.66667,1397703.5,854209.333333,2085931.66667,1011163.91667,8685505.08333,4112852.75,1922989.0,1256129.0,2741361.91667,1416089.91667,11449422.5833,189578
18,emperor penguin,2012,10319.5,3667152.75,1442166.25,922174.0,2157976.33333,1010265.66667,9199735.16667,4550577.25,1949894.83333,1303683.33333,2782995.83333,1393781.25,11980932.9167,149914
