,species,year,population,Weddell_ice_extent_annual,Indian_ice_extent_annual,Pacific_ice_extent_annual,Ross_ice_extent_annual,Bell_Amu_ice_extent_annual,Ant_ice_extent_annual,Weddell_ice_area_annual,Indian_ice_area_annual,Pacific_ice_area_annual,Ross_ice_area_annual,Bell_Amu_ice_area_annual,Ant_ice_area_annual
0,chinstrap penguin,1978,6030.35714286,4976035.5,2003053.5,1284524.5,2856352.5,2025842.0,13145808.0,3649948.0,1310201.0,789170.5,2070220.0,1501441.0,9320980.0
1,chinstrap penguin,1979,2446.92857143,4394234.5,1812466.25,1211319.33333,2485211.83333,1750571.91667,11653804.0,3538351.0,1299754.5,791714.0,1913808.25,1269700.25,8813327.75
2,chinstrap penguin,1980,7395.42857143,4663229.5,1794354.33333,1059117.75,2171306.5,1517922.16667,11205930.25,3649972.5,1319259.83333,717015.166667,1676589.0,1023689.5,8386525.83333
3,chinstrap penguin,1981,749.142857143,4192005.66667,1917307.5,1150461.91667,2638815.58333,1488904.08333,11387494.8333,3365951.0,1410830.5,747256.583333,2026857.33333,1050287.91667,8601183.75
4,chinstrap penguin,1982,140.0,3963435.08333,1889693.91667,1387647.08333,2798568.33333,1554847.5,11594192.0,3158387.83333,1397552.66667,938766.833333,2171148.75,1089178.91667,8755034.58333
5,chinstrap penguin,1983,5766.43636364,4080058.91667,1829988.66667,1311115.41667,2699935.83333,1422322.0,11343420.9167,3266482.75,1356056.16667,881136.0,2036569.16667,989711.333333,8529955.33333
6,chinstrap penguin,1984,2921.96666667,4126269.5,1928297.5,1155138.33333,2754639.83333,1463538.33333,11427883.25,3330883.25,1415479.58333,774085.25,2127466.83333,1032373.16667,8680287.91667
7,chinstrap penguin,1985,1039.7,4066538.83333,1946374.08333,1165693.83333,2924158.83333,1466957.5,11569723.3333,3250256.66667,1439631.41667,775637.5,2282135.41667,1075320.83333,8822981.66667
8,chinstrap penguin,1986,562.9,3872133.33333,1723016.33333,1029674.25,2617454.16667,1801480.5,11043758.75,3068173.83333,1229924.08333,695730.416667,1969453.91667,1300149.66667,8263431.66667
9,chinstrap penguin,1987,15870.7837838,4289866.08333,1707821.0,1051228.91667,2809264.08333,1561668.58333,11419848.5,3355765.33333,1240462.58333,691457.5,2147214.41667,1129890.66667,8564790.58333
10,chinstrap penguin,1988,9622.33333333,4260505.58333,1806590.83333,1164455.75,2988008.33333,1245708.66667,11465268.9167,3450167.25,1311453.5,802171.916667,2254176.83333,874022.25,8691992.08333
11,chinstrap penguin,1989,10710.2,4030231.08333,2158107.58333,1037113.41667,2869981.75,1283731.08333,11379165.0833,3209330.08333,1633312.33333,695329.5,2182799.33333,952738.166667,8673509.41667
12,chinstrap penguin,1990,2197.61538462,3864365.33333,1850689.83333,1224600.41667,2842593.0,1581611.16667,11363859.5833,3158931.83333,1354987.33333,844620.583333,2169606.25,1128783.16667,8656928.83333
13,chinstrap penguin,1991,1747.0,4532788.5,1718640.66667,1122575.25,2684456.83333,1439853.5,11498315.0,3676630.08333,1239163.16667,784272.75,1990783.75,977230.5,8668080.58333
14,chinstrap penguin,1992,825.857142857,4655650.5,1828203.5,1159527.58333,2544404.25,1186446.16667,11374232.4167,3637832.16667,1332473.41667,779234.166667,1936387.41667,833245.166667,8519172.25
15,chinstrap penguin,1993,809.333333333,4146953.75,2024498.16667,1237574.91667,2584367.66667,1377837.91667,11371232.4167,3309210.41667,1491739.33333,844691.916667,1985482.41667,975706.25,8606830.41667
