Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.14,-.17,.04,.04,.01,-.21,-.07,-.03,-.14,-.22,-.22,-.12,-.10,-.11,-.18,.03,-.11,-.19
1882,.13,.13,.03,-.19,-.16,-.27,-.21,-.06,-.10,-.25,-.16,-.25,-.11,-.10,.05,-.11,-.18,-.17
1883,-.32,-.40,-.13,-.17,-.21,-.13,-.08,-.16,-.21,-.15,-.23,-.16,-.20,-.20,-.32,-.17,-.12,-.19
1884,-.16,-.09,-.37,-.43,-.38,-.41,-.35,-.27,-.27,-.25,-.30,-.29,-.30,-.29,-.14,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.43,-.42,-.44,-.36,-.32,-.24,-.20,-.20,-.05,-.32,-.34,-.39,-.37,-.37,-.21
1886,-.42,-.45,-.39,-.28,-.26,-.39,-.22,-.34,-.26,-.29,-.31,-.26,-.32,-.30,-.31,-.31,-.32,-.28
1887,-.73,-.52,-.34,-.39,-.32,-.24,-.23,-.32,-.23,-.32,-.23,-.34,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.37,-.36,-.41,-.23,-.22,-.18,-.10,-.16,-.10,.02,.01,-.06,-.18,-.20,-.36,-.29,-.15,-.02
1889,-.11,.19,.08,.07,-.02,-.13,-.10,-.20,-.21,-.23,-.33,-.30,-.11,-.09,.01,.04,-.14,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.26,-.38,-.39,-.24,-.47,-.30,-.37,-.37,-.40,-.41,-.30,-.37
1891,-.42,-.47,-.18,-.28,-.19,-.21,-.21,-.16,-.14,-.21,-.34,-.04,-.24,-.26,-.39,-.22,-.19,-.23
1892,-.28,-.11,-.35,-.34,-.24,-.23,-.32,-.25,-.12,-.12,-.41,-.39,-.26,-.23,-.14,-.31,-.27,-.22
1893,-.79,-.54,-.23,-.29,-.35,-.28,-.16,-.26,-.20,-.17,-.16,-.34,-.32,-.32,-.57,-.29,-.23,-.18
1894,-.53,-.33,-.24,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.25,-.20,-.31,-.32,-.40,-.36,-.30,-.23
1895,-.44,-.42,-.28,-.24,-.27,-.24,-.17,-.15,-.08,-.08,-.14,-.15,-.22,-.23,-.35,-.26,-.19,-.10
1896,-.25,-.14,-.26,-.30,-.18,-.14,-.03,-.04,-.03,.11,-.07,-.03,-.11,-.12,-.18,-.25,-.07,.00
1897,-.14,-.15,-.13,-.02,-.05,-.16,-.07,-.11,-.08,-.12,-.19,-.19,-.12,-.10,-.11,-.07,-.11,-.13
1898,-.03,-.29,-.51,-.33,-.32,-.20,-.24,-.25,-.21,-.34,-.38,-.25,-.28,-.27,-.17,-.38,-.23,-.31
1899,-.19,-.40,-.34,-.21,-.23,-.33,-.18,-.07,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.01
1900,-.37,-.02,.01,-.12,-.10,-.13,-.13,-.11,-.05,.08,-.10,-.07,-.09,-.11,-.23,-.07,-.12,-.02
1901,-.24,-.04,.08,-.04,-.16,-.13,-.15,-.20,-.22,-.31,-.16,-.27,-.15,-.14,-.11,-.04,-.16,-.23
1902,-.19,-.03,-.29,-.30,-.36,-.35,-.29,-.33,-.29,-.32,-.39,-.46,-.30,-.29,-.17,-.32,-.33,-.33
1903,-.25,-.04,-.23,-.42,-.44,-.46,-.38,-.48,-.49,-.49,-.44,-.53,-.39,-.38,-.25,-.36,-.44,-.47
1904,-.67,-.58,-.51,-.54,-.55,-.51,-.54,-.51,-.53,-.40,-.21,-.35,-.49,-.51,-.59,-.53,-.52,-.38
1905,-.39,-.59,-.23,-.36,-.33,-.31,-.30,-.22,-.19,-.26,-.10,-.18,-.29,-.30,-.44,-.31,-.27,-.18
1906,-.28,-.30,-.16,-.04,-.24,-.21,-.25,-.20,-.27,-.19,-.38,-.16,-.22,-.23,-.26,-.15,-.22,-.28
1907,-.41,-.51,-.26,-.38,-.47,-.43,-.37,-.35,-.33,-.24,-.48,-.48,-.39,-.37,-.36,-.37,-.38,-.35
1908,-.43,-.31,-.54,-.45,-.41,-.41,-.40,-.46,-.36,-.45,-.50,-.49,-.43,-.43,-.41,-.47,-.42,-.44
1909,-.69,-.47,-.51,-.60,-.56,-.53,-.45,-.31,-.36,-.37,-.31,-.55,-.48,-.47,-.55,-.56,-.43,-.35
1910,-.45,-.44,-.51,-.41,-.35,-.38,-.35,-.37,-.36,-.39,-.54,-.66,-.43,-.42,-.48,-.43,-.37,-.43
