Year,Month,Weddell_sea,Indian_Ocean,W_Pacific_Ocean,Ross_sea,Bellingshausen_Amumden_Seas,Antarctic_total
1978,11,5680754,2920134,1693845,3332350,2269373,15896456
1978,12,4271317,1085973,875204,2380355,1782311,10395160
1979,1,2136511,376619,668714,1040456,1179856,5402155
1979,2,1243496,211789,566930,239334,879585,3141134
1979,3,1699054,262868,688420,557365,791619,3999326
1979,4,2617442,698377,859963,2054856,1254912,7485550
1979,5,3852934,1252408,1127120,2973926,1620142,10826530
1979,6,5356938,2043107,1387682,3587641,1811517,14186885
1979,7,6185735,2765094,1510347,4023811,2031748,16516735
1979,8,6484833,3088072,1658023,3967116,2500309,17698354
1979,9,6538082,3482329,1888593,3672481,2614055,18195540
1979,10,6385107,3732506,1738230,3491816,2472814,17820472
1979,11,5927065,2742585,1552156,2869834,2245511,15337152
1979,12,4303617,1093841,889654,1343906,1604795,9235815
1980,1,1943583,397528,525676,545832,1149487,4562105
1980,2,1219234,131407,301628,269558,896463,2818289
1980,3,1456241,179685,270553,504399,884057,3294936
1980,4,2235921,374004,520758,1094854,1179454,5404992
1980,5,3823201,1065631,895857,1705206,1366855,8856751
1980,6,5467587,1769097,1209882,2348627,1694922,12490116
1980,7,6585370,2598418,1362526,2988550,2029494,15564358
1980,8,7372905,3226074,1697532,3342667,2166302,17805479
1980,9,7678221,3590691,1732980,3695353,2120122,18817367
1980,10,7426332,3654186,1928729,3763805,1794821,18567873
1980,11,6492249,3082417,1405707,3581321,1571416,16133110
1980,12,4257910,1463114,857585,2215506,1361673,10155787
1981,1,1291981,456156,608703,1129245,925768,4411853
1981,2,889965,240414,453855,560266,728858,2873359
1981,3,985788,273720,459087,1012741,660209,3391545
1981,4,1769935,704977,706874,1763318,893297,5838401
1981,5,3266017,1341511,976287,2427222,1343618,9354655
1981,6,5134911,2058883,1228674,3265950,1420182,13108600
1981,7,6258949,2668027,1551304,3809657,1750745,16038682
1981,8,6828599,3183704,1555112,4064075,2104990,17736480
1981,9,6997803,3708933,1823071,3845842,2220935,18596585
1981,10,6753770,3814228,1867059,3670244,2188436,18293737
1981,11,5951529,3193651,1551920,3386271,2027986,16111356
1981,12,4174821,1363486,1023597,2730956,1601825,10894685
1982,1,1634447,345535,520240,1694496,1065262,5259979
1982,2,1196652,182362,316388,722837,710267,3128506
1982,3,1411236,257818,445290,1296413,877092,4287849
1982,4,2202518,810572,964689,2367144,1378054,7722977
1982,5,3383574,1459372,1223217,3057939,1634220,10758321
1982,6,4621369,2031732,1483944,3496573,1783148,13416766
1982,7,5605059,2826933,1726747,3683923,2029627,15872290
1982,8,6124550,3375176,2281997,3858188,2149381,17789293
1982,9,6312097,3623241,2484936,3759168,2173997,18353440
1982,10,6036768,3762868,2374283,3782611,1832050,17788580
1982,11,5386118,2955735,1915104,3526507,1753202,15536666
1982,12,3646833,1044983,914930,2337021,1271870,9215637
1983,1,1984283,382866,508622,941737,952988,4770497
1983,2,1195456,166753,308783,541938,857156,3070085
1983,3,1418263,176146,385751,1088714,946806,4015681
1983,4,2499265,433513,780754,1821781,934965,6470278
1983,5,3523983,1078069,1205226,2673829,1044822,9525930
1983,6,4567317,1976726,1415089,3266518,1416855,12642505
1983,7,5537003,2668830,1803220,3751278,1706382,15466713
1983,8,5765633,3343599,2137444,4080598,1923491,17250764
1983,9,6498733,3555988,2333106,4217783,1979652,18585262
1983,10,6186763,3575044,2245481,3850089,2057949,17915327
1983,11,5751313,2944644,1790463,3700119,1827517,16014055
1983,12,4032695,1657686,819446,2464846,1419281,10393954
1984,1,1705053,609761,431259,1044085,988530,4778689
1984,2,1041413,270734,245554,461843,657712,2677255
1984,3,1376701,299450,294300,1060592,581274,3612317
1984,4,2227126,782807,680000,1850447,881553,6421933
1984,5,3371778,1289411,1045112,2741842,1300291,9748432
1984,6,4701105,1969725,1473503,3482161,1604022,13230515
1984,7,6066254,2765242,1754600,3958853,1850082,16395031
1984,8,6364665,3264417,1911850,4210640,2176022,17927593
1984,9,6514941,3399046,1884429,4245336,2119728,18163480
1984,10,6066306,3665626,1765373,3746664,2328574,17572543
1984,11,5732017,3483619,1550253,3596070,1772029,16133989
1984,12,4347875,1339732,825427,2657145,1302643,10472822
1985,1,1572479,358015,529688,1098126,896994,4455303
1985,2,875806,180886,350980,743863,684751,2836286
1985,3,1056714,291208,341717,1342320,685304,3717263
1985,4,2031796,652504,654298,2326223,828395,6493216
1985,5,3385439,1321370,1095952,3244511,1105628,10152900
1985,6,4995098,2154654,1431612,3498071,1349031,13428467
1985,7,5764001,2741280,1663287,3652648,1899736,15720953
1985,8,6248392,3286767,1852252,3972191,2272728,17632331
1985,9,6318190,3694239,2010265,4308393,2372076,18703163
1985,10,6272189,3609407,2013911,4074256,2234647,18204409
1985,11,5813822,3374003,1317615,3871573,1763190,16140204
1985,12,4464540,1692156,726749,2957731,1511010,11352185
1986,1,1886157,488385,355494,1596276,1095978,5422290
1986,2,1019713,315431,176646,877599,803620,3193008
1986,3,1123404,254397,144103,1411226,765312,3698443
1986,4,1907254,528794,438007,2375601,1135837,6385493
1986,5,3373562,919682,865993,2696639,1439884,9295761
1986,6,4539761,1957635,1458246,2639317,2092116,12687076
1986,7,5261938,2599500,1753250,3169980,2532205,15316872
1986,8,5789243,3300542,1748856,3523701,2636375,16998717
1986,9,6164140,3497320,1767502,3580436,2673797,17683195
1986,10,6043858,3388772,1632056,3726491,2392574,17183752
1986,11,5531121,2613738,1265560,3328699,2267405,15006523
1986,12,3825449,812000,750378,2483485,1782663,9653975
1987,1,1796978,323134,488149,1488130,1029518,5125910
1987,2,1074738,135756,321347,981799,740166,3253806
1987,3,1254047,171580,331509,1394560,960947,4112643
1987,4,1954634,482998,582577,2346589,1430131,6796929
1987,5,3263708,1055402,950891,2915580,1508506,9694086
1987,6,4680522,1643579,1320949,3216617,1822603,12684269
1987,7,5816114,2584277,1427810,3615462,2307955,15751617
1987,8,6873277,3107363,1838761,3683056,2159049,17661504
1987,9,7152135,3399649,1818996,3747089,2128277,18246145
1987,10,6835005,3585072,1625838,3743118,1884991,17674024
1987,11,6221809,2797812,1214172,3814680,1535687,15584161
1987,12,4555426,1207230,693748,2764489,1232193,10453088
1988,1,1422651,297768,521258,1508917,812219,4562813
1988,2,844157,113156,381122,953517,593737,2885689
1988,3,1068990,108878,530087,1477426,780786,3966167
1988,4,1819323,523910,791078,2184320,968899,6287530
1988,5,3179401,1115997,1090124,3006466,1210298,9602285
1988,6,4787728,1790771,1386774,3690196,1437343,13092812
1988,7,6051092,2531867,1590738,3985895,1589010,15748602
1988,8,6788277,3134306,1871514,3966828,1800016,17560940
1988,9,7033061,3559860,1920163,4045767,1748301,18307152
