site.name,site.id,ccamlr.region,Longitude.EPSG.4326,Latitude.EPSG.4326,common.name,day,month,year,season.starting,count,accuracy,count.type
Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,12,11,2009,2009,76,5,nests
Adams Island,ADAM,58.4.1,92.5486,-66.5459,adelie penguin,21,1,2011,2010,425,1,adults
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,0,1982,1982,220900,2,chicks
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1983,1983,256806,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1986,1986,282307,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1988,1988,272338,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1990,1990,169200,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1992,1992,297443,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,1998,1998,338777,2,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,16,2,2011,2010,338231,5,nests
Cape Adare,ADAR,88.1,170.1999,-71.3063,adelie penguin,0,12,2013,2013,428516,2,nests
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,24,11,1981,1981,211,1,adults
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,14,11,1984,1984,187,1,adults
Akarui Point,AKAR,58.4.2,41.3901,-68.4999,adelie penguin,11,2,2011,2010,106,5,nests
Alasheyev Bight,ALAS,58.4.2,46.109,-67.654,adelie penguin,25,3,2009,2008,1080,5,nests
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1961,1961,1500,3,adults
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1983,1983,2339,2,chicks
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,0,0,1987,1987,9000,3,chicks
Amanda Bay,AMAN,58.4.2,76.83,-69.27,emperor penguin,13,10,2009,2009,6831,2,adults
Amundsen Bay,AMUN,58.4.2,50.55,-66.78,emperor penguin,20,10,2009,2009,88,2,adults
Andersen Island,ANDS,58.4.2,63.3572,-67.4353,adelie penguin,23,11,2005,2005,5000,5,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1986,1986,557,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1988,1988,383,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1991,1991,346,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1993,1993,369,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1996,1996,160,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,1998,1998,171,2,nests
Cape Anne,ANNE,88.1,169.85,-73.617,adelie penguin,0,12,2002,2002,273,2,nests
