Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1881,-1.03,-0.51,-0.36,-0.26,-0.01,-1.46,-0.61,-0.22,-0.35,-0.43,-0.65,0.23,-0.47,-0.49,-0.51,-0.21,-0.76,-0.48
1882,0.07,-0.36,-0.14,-0.7,-0.28,-1.35,-0.83,-0.04,0.15,0.12,-0.04,-0.57,-0.33,-0.26,-0.02,-0.37,-0.74,0.08
1883,-0.61,-0.88,-0.46,-0.14,-0.06,1.04,0.18,0.2,-0.28,-0.7,-0.62,0.11,-0.18,-0.24,-0.69,-0.22,0.48,-0.53
1884,-0.47,-0.13,0.19,-0.79,-1.56,-0.85,-0.98,1.04,-0.04,-0.79,-0.6,-1.19,-0.51,-0.41,-0.16,-0.72,-0.26,-0.47
1885,-0.53,-0.97,-1.15,-1.01,-0.33,-1.19,-0.89,0.04,0,0.51,-0.18,0.1,-0.47,-0.57,-0.9,-0.83,-0.68,0.11
1886,-0.26,-0.58,-0.47,-0.63,-0.6,-1.04,-0.63,-0.92,-0.38,-1.32,-0.17,-0.92,-0.66,-0.58,-0.25,-0.57,-0.86,-0.62
1887,-0.19,-1.38,-0.44,-0.79,-1.32,-0.85,-0.61,0.15,-0.94,-0.38,-1.22,-0.31,-0.69,-0.74,-0.83,-0.85,-0.44,-0.84
1888,-0.23,-0.54,-0.82,-0.19,-1.02,-0.73,-0.46,-0.31,-0.5,-0.31,0.14,0.2,-0.4,-0.44,-0.36,-0.67,-0.5,-0.22
1889,0.16,0.3,0.08,-0.06,0.09,-0.43,-0.64,-0.93,-0.31,0.09,0,-0.08,-0.14,-0.12,0.22,0.04,-0.67,-0.07
1890,-0.48,-0.73,-0.53,-0.42,-1.04,-0.71,-0.86,-0.76,-0.39,-0.35,-0.67,-0.44,-0.62,-0.59,-0.43,-0.66,-0.78,-0.47
1891,-1,-1.06,-0.64,-0.81,-0.5,-0.85,-1.22,-0.92,-0.88,-0.61,-0.28,0.08,-0.72,-0.77,-0.83,-0.65,-1,-0.59
1892,-0.47,-0.28,-0.29,-0.63,-0.82,-0.91,-0.42,-0.1,-0.79,-0.46,-0.36,-0.37,-0.49,-0.45,-0.22,-0.58,-0.47,-0.54
1893,-0.9,-0.79,-0.71,-0.89,-0.85,-1.1,-0.25,-0.52,-0.37,-0.05,-0.11,-0.09,-0.55,-0.58,-0.69,-0.82,-0.62,-0.18
1894,-0.55,-0.59,-0.6,-0.68,-0.93,-0.72,-0.67,-0.49,-0.61,0.05,0.28,0,-0.46,-0.47,-0.41,-0.74,-0.63,-0.09
1895,-0.31,-0.43,-0.45,-0.57,-0.29,-0.4,-0.83,-0.18,-0.4,0,-0.23,0.2,-0.32,-0.34,-0.24,-0.44,-0.47,-0.21
1896,0.06,-0.21,-0.3,-0.25,-0.59,-1,-0.53,-0.6,-0.17,-0.06,-0.45,0.09,-0.33,-0.32,0.02,-0.38,-0.71,-0.23
1897,-0.06,-0.54,-0.12,-0.1,-0.58,-0.22,-0.19,-0.53,-0.2,-0.26,0.25,-0.15,-0.22,-0.21,-0.17,-0.27,-0.31,-0.07
1898,-0.18,-0.38,-0.7,-0.82,-0.88,-0.51,-0.57,-0.47,0.01,-0.47,-0.41,-0.15,-0.46,-0.46,-0.24,-0.8,-0.52,-0.29
1899,-0.65,-0.48,-0.38,-0.43,-0.7,-0.84,-0.67,-0.71,-0.18,-0.66,-0.43,0.02,-0.51,-0.52,-0.42,-0.5,-0.74,-0.43
1900,-0.36,0,-0.49,-0.15,-0.26,-0.11,-0.53,-0.36,-0.19,0.06,-0.15,-0.2,-0.23,-0.21,-0.11,-0.3,-0.33,-0.1
1901,-0.03,-0.23,-0.55,-0.4,-0.25,-0.08,-0.67,-0.4,0.13,-0.18,0.04,-0.04,-0.22,-0.24,-0.15,-0.4,-0.38,0
1902,-0.39,-0.16,-0.05,0.06,-0.16,-0.27,-0.46,-0.77,-0.47,-0.49,-0.37,-0.32,-0.32,-0.3,-0.2,-0.05,-0.5,-0.45
1903,-0.34,-0.44,-0.32,-0.57,-0.33,-0.7,-0.26,-0.37,-0.55,-0.6,-0.55,-0.58,-0.47,-0.45,-0.37,-0.41,-0.44,-0.56
1904,-0.63,-0.87,-0.76,-0.4,-0.78,-0.57,-0.71,-0.65,-0.47,-0.72,-0.38,-0.5,-0.62,-0.63,-0.69,-0.65,-0.65,-0.52
1905,-0.42,-0.77,-0.3,-0.22,-0.39,-0.34,-0.67,-0.3,-0.3,-0.38,-0.23,-0.19,-0.38,-0.4,-0.57,-0.3,-0.44,-0.31
1906,0.26,0.07,-0.34,0.02,-0.26,-0.45,-0.27,-0.36,-0.56,-0.37,-0.59,-0.55,-0.28,-0.25,0.05,-0.19,-0.36,-0.51
1907,-0.43,-0.31,-0.46,-0.44,-0.44,-0.66,-0.46,-0.69,-0.53,-0.49,-0.53,-0.7,-0.51,-0.5,-0.43,-0.45,-0.61,-0.52
1908,-0.29,-0.43,-0.42,-0.58,-0.41,-0.69,-0.58,-0.35,-0.2,-0.47,-0.47,-0.33,-0.43,-0.47,-0.48,-0.47,-0.54,-0.38
1909,-0.63,-0.7,-0.43,-0.63,-0.69,-0.47,-0.41,-0.1,-0.25,-0.21,-0.41,-0.44,-0.45,-0.44,-0.55,-0.58,-0.33,-0.29
1910,-0.44,-0.38,-0.6,-0.4,-0.24,-0.35,-0.26,-0.06,0.05,-0.5,-0.53,-0.41,-0.34,-0.34,-0.42,-0.41,-0.22,-0.33
1911,-0.49,-0.57,-0.55,-0.61,-0.41,-0.61,-0.24,-0.33,-0.37,-0.23,-0.12,-0.18,-0.39,-0.41,-0.49,-0.52,-0.39,-0.24
1912,0.12,-0.13,-0.24,-0.29,-0.28,-0.33,-0.36,-0.37,-0.02,-0.03,-0.28,-0.12,-0.19,-0.2,-0.06,-0.27,-0.35,-0.11
1913,-0.32,-0.34,-0.59,-0.19,-0.57,-0.67,0.05,-0.02,-0.05,-0.14,-0.14,0.02,-0.25,-0.26,-0.26,-0.45,-0.21,-0.11
1914,0,0.02,0.12,0.05,0.13,0.02,-0.19,-0.04,0.04,0.14,-0.38,-0.14,-0.02,0,0.01,0.1,-0.07,-0.06
1915,-0.13,0.19,0.1,-0.09,-0.36,-0.44,0.07,-0.32,0.07,0.03,0.06,-0.11,-0.08,-0.08,-0.03,-0.12,-0.23,0.05
1916,-0.22,-0.12,-0.33,-0.25,-0.4,-0.59,-0.5,-0.03,0.04,-0.04,-0.44,-0.41,-0.27,-0.25,-0.15,-0.32,-0.37,-0.15
